-4	14090	-5830	1457.5
-3.5	14915	-5005	1430
-3	15530	-4390	1463.3333333333
-2.5	16340	-3580	1432
-2	17030	-2890	1445
-1.5	17830	-2090	1393.3333333333
-1	18410	-1510	1510
0	19920	0	
1	21350	1430	1430
1.5	21960	2040	1360
2	22785	2865	1432.5
2.5	23460	3540	1416
3	24210	4290	1430
3.5	24900	4980	1422.8571428572
4	25660	5740	1435
